"Id";"DTime";"AHorizontal";"AVertical";"Frequency";"Amplitude";"Variance";"Snr"
336;"2024-02-07 11:41:16";10;0;1100;-39.0203;0.0154227;413.492
337;"2024-02-07 11:41:16";10;0;1100;-39.0127;0.0140585;432.841
338;"2024-02-07 11:41:16";10;0;1100;-39.0132;0.013157;396.875
339;"2024-02-07 11:41:22";10;0;1200;-38.0049;0.0181808;129.108
340;"2024-02-07 11:41:22";10;0;1200;-38.0142;0.0147593;131.854
341;"2024-02-07 11:41:22";10;0;1200;-38.0126;0.016804;128.545
342;"2024-02-07 11:41:22";10;0;1200;-38.0167;0.0148274;127.855
343;"2024-02-07 11:41:22";10;0;1200;-38.017;0.0172925;124.979
344;"2024-02-07 11:41:22";10;0;1200;-38.0272;0.015901;132.334
345;"2024-02-07 11:41:22";10;0;1200;-38.0309;0.0165566;132.36
346;"2024-02-07 11:41:22";10;0;1200;-38.0285;0.0150453;131.038
347;"2024-02-07 11:41:22";10;0;1200;-38.0254;0.0163475;131.043
348;"2024-02-07 11:41:22";10;0;1200;-38.018;0.0146911;130.437
349;"2024-02-07 11:41:22";10;0;1200;-38.0181;0.0157218;123.778
350;"2024-02-07 11:41:22";10;0;1200;-38.0079;0.0183475;119.286
351;"2024-02-07 11:41:22";10;0;1200;-38.0017;0.0163057;120.745
352;"2024-02-07 11:41:28";10;0;1300;-40.8445;0.0176103;344.008
353;"2024-02-07 11:41:28";10;0;1300;-40.8454;0.0174658;320.312
354;"2024-02-07 11:41:28";10;0;1300;-40.8575;0.0142951;360.214
355;"2024-02-07 11:41:28";10;0;1300;-40.8544;0.015373;372.092
